,year,State,Median income,Smoke everyday,Smoke some days,Former smoker,Never smoked
269,2000,Alaska,78675.0,18.6,6.4,28.1,46.8
270,2000,All States and DC,,17.7,5.1,24.3,52.3
271,2000,Arizona,59226.0,13.5,5.2,21.7,59.7
272,2000,Arkansas,44211.0,19.9,5.2,24.5,50.4
273,2000,California,69696.0,12.1,5.1,26.0,56.7
274,2000,Colorado,71816.0,15.0,5.0,26.2,53.8
275,2000,Connecticut,74693.0,15.3,4.6,27.8,52.3
276,2000,Delaware,74980.0,18.6,4.2,23.9,53.2
277,2000,District of Columbia,61368.0,13.9,7.0,22.0,57.1
278,2000,Florida,57846.0,17.7,5.5,27.4,49.4
279,2000,Georgia,62379.0,18.4,5.1,22.7,53.8
280,2000,Hawaii,76738.0,15.8,3.9,24.2,56.2
281,2000,Idaho,55993.0,16.9,5.4,24.6,53.1
282,2000,Illinois,68577.0,16.2,6.2,22.6,55.1
283,2000,Indiana,60837.0,22.4,4.6,22.6,50.5
284,2000,Iowa,61025.0,18.3,4.9,23.1,53.7
285,2000,Kansas,61126.0,16.9,4.2,23.6,55.4
286,2000,Kentucky,53989.0,26.8,3.7,23.0,46.5
287,2000,Louisiana,45731.0,18.6,5.5,19.5,56.5
288,2000,Maine,55479.0,20.7,3.1,29.9,46.3
289,2000,Maryland,81188.0,15.2,5.3,23.5,56.0
290,2000,Massachusetts,69603.0,15.3,4.7,28.2,51.9
291,2000,Michigan,67755.0,19.1,5.0,25.4,50.4
292,2000,Minnesota,80765.0,15.2,4.5,23.1,57.1
293,2000,Mississippi,51062.0,18.8,4.7,20.5,56.0
294,2000,Missouri,67137.0,22.6,4.6,24.7,48.1
295,2000,Montana,48796.0,15.9,2.9,29.8,51.4
296,2000,Nebraska,62155.0,16.5,4.8,24.3,54.5
297,2000,Nevada,68121.0,22.0,7.1,26.7,44.3
298,2000,New Hampshire,75815.0,19.7,5.6,29.7,45.0
299,2000,New Jersey,75039.0,14.8,6.2,22.4,56.6
300,2000,New Mexico,52244.0,16.9,6.6,25.8,50.6
301,2000,New York,60657.0,15.9,5.7,25.6,52.9
302,2000,North Carolina,57044.0,20.7,5.4,24.3,49.6
303,2000,North Dakota,53588.0,17.5,5.8,23.4,53.4
304,2000,Ohio,63959.0,21.1,5.1,23.2,50.6
305,2000,Oklahoma,48283.0,19.8,3.5,19.3,57.4
306,2000,Oregon,63270.0,15.3,5.4,28.3,50.9
307,2000,Pennsylvania,62789.0,19.3,5.1,24.5,51.1
308,2000,Puerto Rico,,9.2,3.9,15.2,71.6
309,2000,Rhode Island,62820.0,18.3,5.1,26.7,49.9
310,2000,South Carolina,55932.0,18.8,6.2,21.9,53.2
311,2000,South Dakota,54301.0,16.8,5.1,24.6,53.5
